id,model,scale,config,effective_bits,effective_bits_basis,basis,corroborated,ppl_wikitext2,zeroshot_avg,mmlu,gsm8k,mem,latency_or_speed,energy,notes
Dong2024-STBLLM,STBLLM,7-70B,<1-bit N:M,4.13,"effective; strict accounting incl. group scales/bitmaps [Chong2026-NanoQuant], vs. <1-bit nominal code",ICLR25,yes,< other binary,beats other <1-bit binary,,,less memory,custom CUDA kernel,,
Jo2024-BinaryMoS,BinaryMoS,1-13B,binary QAT,1.0,nominal,NeurIPS,yes,,beats binary and 2-bit methods,,,≈ static-binary size,,,
Panferov2025-QuEST,QuEST,<=800M,W1A1 .. W4A4,var,"sweep W1A1..W4A4, no single operating point",ICML,yes,,,,,,GPU kernels provided,,optimal at 4-bit; stable scaling reported across the W1A1-W4A4 sweep
Tang2024-BiMamba,Bi-Mamba,780M/1.3B/2.7B,1-bit SSM from scratch,1.0,nominal,TMLR25,yes,≈ FP16,≈ FP16,,,drastic vs orig Mamba,,,beats PTB Mamba and BAT Transformer
Huang2025-Tequila,Tequila,<=3B,ternary QAT,1.58,nominal,preprint,no,,+ >4% ARC vs SoTA; <1% gap to FP,,,,3.0x inference speedup,,fixes deadzone trapping; ≈0 inference overhead
Xiao2025-PTQTP,PTQTP,0.6-70B,dual trit-plane PTQ,var,dual trit-plane design; exact multiplier not independently reverified here,preprint,no,,rivals 1.58-bit QAT,,,,4.63x decode vs FP16,,≈1h vs 10-14 GPU-days for QAT
Yan2025-PT2LLM,PT2-LLM,7-65B,ternary PTQ,1.58,nominal,ICLR26,yes,≈ 2-bit PTQ,competitive with SoTA 2-bit PTQ,,,lower memory than 2-bit PTQ,end-to-end prefill+decode speedup,,
Zhao2026-TWLA,TWLA,7-70B,W1.58A4 PTQ,1.58,nominal,ICML,yes,,,,,,significant inference acceleration,,"E2M-ATQ + Kronecker rotation for outliers; accuracy reported as retained, not quantified per-benchmark"
Lee2025-LittleBit,LittleBit,7-70B,0.1 bits/weight,0.1,nominal; author-reported,NeurIPS,yes,,beats 0.7-BPW methods @ 0.1 BPW,,,31x memory (Llama2-13B <0.9 GB),11.6x inference speedup vs FP16,,
Wang2024-1bitAIInfra,bitnet.cpp,up to 100B,ternary CPU kernels,1.58,nominal; inherits BitNet b1.58 ternary scheme,preprint,no,lossless (claimed),,,,,x86 2.37-6.17x; ARM 1.37-5.07x; 100B @ 5-7 tok/s 1 CPU,x86 72-82%; ARM 55-70% energy cut,"Section 10: reference runtime as built uses wrong FFN activation, not lossless until patched."
Wang2025-BitNetCPP,bitnet.cpp (paper),ternary,I2_S + TL1/TL2,1.58,nominal; inherits BitNet b1.58 ternary scheme,ACL,yes,lossless,,,,,up to 6.25x vs FP16; 2.32x vs low-bit,,
Wu2025-BitNetDistillation,BitNet Distillation,<=7B,FP → 1.58-bit task,1.58,nominal,preprint,no,,≈ FP task performance,,,≈10x memory,≈2.6x CPU speedup (reported),,SubLN + continued-pretrain + logit/attn distill
Kim2023-TSLD,TSLD,1.3-6.7B,ternary QAT,1.58,nominal,NeurIPS,yes,< 1.0 ppl degradation,improved CSQA + arithmetic,,,,,,first ternary QAT of large GLMs
Zhao2024-DQT,Direct Quantized Training,<1B,ternary/8-bit no STE,8.0,"nominal; reported ppl point is the 8-bit variant, not the ternary-only variant",ACML25,yes,8-bit == BitNet b1.58,,,,reduced training memory,,,ternary-only feasible; robust FP32→BF16/FP8
Wang2025-BitVLA,BitVLA,2B,W1.58 + distilled vision enc,1.58,nominal,preprint,no,,retains task competence,,,≈ BitNet 2B4T footprint,,,LIBERO / robotic manipulation
Kawamura2025-BitTTS,BitTTS,<1B,1.58-bit QAT + weight-index,1.58,nominal,Interspeech,yes,,beats same-size unquantized (MOS),,,83% size reduction,,,5 ternary weights → 1 int8
Wang2025-MoTE,MoTE,3B up-cycled,ternary routed experts,1.58,nominal,preprint,no,,+4.3% avg vs MoE-LLaVA @3.4GB expert mem,,,fixed active params,,,composes with PTQ
Wang2025-BitNetJMLR,BitNet b1 / b1.58,125M-6.7B,W1A8 / W1.58A8,var,reports both W1A8 (binary) and W1.58A8 variants together,JMLR-26,yes,competitive vs 8-bit PTQ + FP16,b1.58 matches half-precision,,,,,,peer-reviewed (JMLR 26)
Kumar2024-ScalingLawsPrecision,(analysis),<=1.7B,precision-aware scaling,var,"cross-precision scaling-law analysis, not one model",ICLR25,yes,,,,,,,,weight-precision gains saturate ≈6-7 bits; can trade Pw for N; PTQ degradation grows with data
Ouyang2024-QiDScaling,(analysis),7-405B proj,QiD scaling,var,"cross-precision scaling-law analysis, not one model",preprint,no,,,,,,,,2-bit qLoss ≈2.0 / 3-bit ≈0.03 (12B Pythia); 100T-token projection unfavourable for low-bit
Malinovskii2024-PVTuning,PV-Tuning,7-70B,1-2 bit VQ fine-tune,2.0,nominal; headline result is the 2-bit Pareto-optimal point,NeurIPS(oral),yes,SOTA 1-2 bit; first Pareto-optimal 2-bit Llama-2,,,,,same calib data; kernel-compatible,,NeurIPS oral
Du2024-BitDistiller,BitDistiller,1-34B,uniform 2-3 bit QAT+KD,2.0,nominal; reported ppl point is the 2-bit variant,ACL,yes,2-bit +3.54% vs LLM-QAT; +12.43% vs best PTQ,,,,,fewer data/resources,,best 3/2-bit code-gen scaling
Chen2024-EfficientQAT,EfficientQAT,7-70B,uniform 2-4 bit QAT,2.0,nominal; reported ppl point is the 2-bit variant,ACL25,yes,,2-bit Llama2-70B 69.48 vs 72.41 FP (<3pt),,,,2-bit 70B on 1xA100-80GB in 41h,,≈5pt over uniform 2-bit
Tabesh2025-CAGE,CAGE,Llama-3.2-3B,W3A3 / W4A4 QAT,3.0,nominal; headline result is the W3A3 point,MLSys26,yes,,halves quant error vs QuEST/MXFP4 (GSM8K/HS/WG); W3A3 = prior W4A4,,,,optimizer-agnostic,,convergence proof; MLSys 2026
Zhao2025-PTQ161,PTQ1.61,LLaMA-7B,mixed-partial PTQ,1.61,effective; author's own accounting (model name states it directly),ACL,yes,ppl 12.50,,,,,,1.61 eff bits (mask 0.0002-bit),first true sub-2-bit PTQ (ACL)
Anon2025-BinaryWA-PTQ,binary W+A PTQ,7B,W(1+1)A(1-4) PTQ,2.0,"nominal; two combined 1-bit codes, W(1+1)",ACL-Findings,yes,W2A4 LLaMA-7B ppl 8.58 / LLaMA2-7B 8.89 (FP 5.68/5.47),,,,,,,4-bit KV; 128 outlier channels ≈3%
Anon2025-DoubleBinaryFactorization,DBF,Llama2-7B,binary factors PTQ,2.0,nominal; two combined binary factors,TMLR26,yes,beats single-matrix binarization; competitive w/ leading quant,,,,,2-3.5x speedup @2-bit,scale vec +0.012 bit,TMLR 2026
Chen2025-HBLLM,HBLLM,OPT / LLaMA,1-bit PTQ (Haar wavelet),1.08,nominal; author-reported average bits,NeurIPS,yes,LLaMA2-13B ppl 6.71 @1.08 avg bits; 1.22-2.48x FP16 ppl,,,,,,1.08 avg bits,retains 73.8-88.8% QA
Anon2025-MultiBoolean,Multi-Boolean,OPT / LLaMA,K Boolean kernels,var,K is the tuned parameter (3-4 kernels reported optimal); not confirmed as a direct bit count,ICLR26,yes,close to FP16; beats binarization + 2-bit,,,,,,≈2 bits (2 kernels),3-4 kernels optimal; ICLR 2026
Chong2026-NanoQuant,NanoQuant,L2/L3/G3/Q3,sub-1-bit PTQ,var,own operating point not stated beyond sub-1-bit,ICML,yes,competitive w/ higher-BPW binary PTQ; approaches binary QAT,,,,,,1-bit and sub-1-bit genuine,shows BiLLM=2.88 / STBLLM=4.13 effective BPW
You2026-RaBiT,RaBiT,Llama/Gemma/Qwen,binary residual QAT (matmul-free),2.02,effective; author-reported overhead over a nominal two bits,ICML,yes,5.78 (QTIP-VQ 5.86),ZS avg 61.5% (QTIP 59.0%); Qwen3-4B 66.7%,,,,,2.02 eff (nom 2),beats matmul-free binary/residual baselines
Anon2026-HGF,HGF,TinyStories / 1.2-3B,ternary + gated LoRA,1.58,"nominal; ternary base weights, small LoRA correction module",preprint,no,recovers ≈55% of BitNet<→FP16 gap,,,,,+12-15% memory,,small-scale; BitNet has 20-25% ppl degradation vs FP16
Wang2026-HESTIA,HESTIA,Llama-3.2 1B/3B,ternary soft-to-hard QAT,1.58,nominal,preprint,no,,1B ZS +5.39% (0.519 to 0.547 vs Tequila); 3B +4.34%,,,,,,10B-token HESTIA ≈ 100B-token BitNet/Spectra
Wang2026-CATQ,CAT-Q,1.7B-235B incl MoE,ternary PTQ,1.58,nominal,ICML,yes,W1.58 ≈ BitNet v1/v2 @100B tok using 512 calib samples,,,,,,1.58,100000x fewer tokens; beats TernaryLLM-8B (1T tok+KD)
Gu2025-BTCLLM,BTC-LLM,LLaMA 7-65B,sub-1-bit PTQ (binary codebook),0.8,nominal; author-reported best configuration (W0.8A8),ACL26,yes,binary baseline 6.06 ppl LLaMA2-7B; 0.7-bit 11.02 ppl @22x mem; +5.0% over STBLLM @0.8-bit,,,,,1.6x speedup,0.7-1.11 bits,W0.8A8 best (59.6% mean acc)
Ye2025-DBellQuant,DBellQuant,OPT/LLaMA/Qwen/DS,binary W + 6-bit A PTQ,1.0,"nominal; weight only, A6 activation bits reported separately",preprint,no,LLaMA2-13B ppl 14.39 (BiLLM 21.35 weight-only); LLaMA2-7B 21.69 @A6 / 23.04 @A4,,,,,,≈1 (+A6),+12 min vs BiLLM
Zhao2026-BWLA,BWLA,7-70B,binary W + 6-bit A PTQ,1.0,"nominal; weight only, A6 activation bits reported separately",ACL,yes,first high-acc W1AX pure PTQ; Qwen3-32B ppl 11.92 @A6 (SoTA 38); +>70% on 5 ZS,,,,,3.26x speedup,≈1 (+A6),OKT + proximal-SVD
Zagitov2026-HARP,HARP,Llama 1B-70B,any + learned rotation PTQ,2.0,nominal; headline result is the 2-bit point,preprint,no,best gains @2-bit; improves ppl over fixed RHT across scales,,,,,Llama2-7B @2-bit 128 tok/s (RHT 142; FP16 61),+0.02-0.08 (int8 packed),learnable butterfly rotation
Li2025-ICQuant,ICQuant,Llama2/3,any + index-coded outliers PTQ,2.3,effective; author-reported average incl. index-coding overhead,COLM,yes,,2.3 b/wt beats 4-bit RTN; large gains at 2-bit,,,,,+0.3 outlier overhead,vs +1.0 for binary flag; COLM 2025
Wang2026-LCQAT,LC-QAT,1.7-8B,2-bit VQ-QAT,2.0,nominal,ICML,yes,matches/beats SQ+VQ QAT with 0.1-10% of training data,,,,,custom CUDA 1.68x vs FP16,≈2,ICML 2026
Zhang2026-SparseBitNet,Sparse-BitNet,BitNet-2B,ternary + N:M sparsity,1.58,"nominal; ternary base, structural sparsity not separately quantified",preprint,no,at 2:4 (50% sparsity): BitNet +5.7% ppl vs BF16 +18.8%,,,,,up to 1.30x train+inference (6:8 op),1.58 (+mask),42% zeros in pretrained BitNet
Wang2024-QSparse,Q-Sparse,300M-7B,ternary/FP + top-K sparsify,var,"mixed ternary/FP scheme with tunable sparsity, no single operating point",preprint,no,,,,,,,,"inference-optimal sparse scaling law; ≈40% sparsity matches dense, 1.58-bit optimal sparsity 61.25%"
Wang2025-iFairy,iFairy,700M / 1.3B,"complex {+-1,+-i} 2-bit native",2.0,nominal; complex codebook costs two bits of storage,preprint,no,700M avg ppl 11.13 (BitNet b1.58 11.51 repro); FP iFairy 700M 10.08 < FP16 LLaMA 12.33,,,,,,2.0,breaks the quant-accuracy ceiling
Wang2025-Fairy2i,Fairy2i,LLaMA-2 7B,pretrained real → complex 2-bit,2.0,nominal; complex codebook costs two bits of storage,preprint,no,restores LLaMA-2 7B near-FP; beats real binary/ternary,,,,,mult-free accumulation,2.0,recursive residual quant
Song2026-LBLLM,LBLLM,LLaMA,"binary W(1+1) + A4, 3-stage distill",2.0,"nominal; two combined 1-bit codes, W(1+1)",ACL,yes,surpasses SoTA binarization @W2A4; beats CBQ W4A4,,,,,,≈2 (W2 eff),"0.016B tokens, few dozen GPU-h, 1 GPU"
