id,local_file,year,venue,first_author,weight_repr,paradigm,components,act_bits,opt_mechanism,systems_layers,modality,scale,peer_reviewed,indep_check,basis,corroborated,key_contribution
Nielsen2024-WhenEnough,2024_Nielsen_when-are-1.58-bits-enough.pdf,2024,arXiv,Nielsen,ternary,native-scratch,W,16,scaled-STE,algorithm,MLP/GNN/encoder,<1B,n,n,preprint,no,1.58-bit training across non-decoder architectures holds up
Ouyang2024-QiDScaling,2024_Ouyang_low-bit-quant-favors-undertrained-llms-scaling.pdf,2024,arXiv,Ouyang,n/a,analysis,W,var,NA,algorithm,theory,7-405B(proj),n,n,preprint,no,QiD scaling law: low-bit degradation grows with training tokens
Sundaram2024-LLaVaOLMoBitnet,2024_Sundaram_llavaolmobitnet1b-ternary-llm-multimodal.pdf,2024,arXiv,Sundaram,ternary,native-scratch,W+A,8,scaled-STE(OLMo-Bitnet base),algorithm,VLM,1B,n,n,preprint,no,First ternary multimodal LLM (LLaVA + OLMo-Bitnet-1B)
Tang2024-BiMamba,2024_Tang_bi-mamba-1bit-state-space-models.pdf,2024,TMLR-2025,Tang,binary,native-scratch,W,16,autoregressive-distillation,algorithm,SSM,780M-2.7B,y,n,TMLR25,yes,1-bit Mamba SSM from scratch matches FP16; linear-complexity low-bit
Wang2024-1bitAIInfra,2024_Wang_1bit-ai-infra-1.1-bitnet-cpp.pdf,2024,arXiv,Wang,ternary,systems,NA,NA,NA,kernel+hw,systems,NA,n,n,preprint,no,bitnet.cpp CPU kernels 2.37-6.17x x86; lossless; 100B on one CPU
Wang2024-BitNetA48,2024_Wang_bitnet-a4.8-4bit-activations.pdf,2024,arXiv,Wang,ternary,native-scratch,W+A+KV+sparsify,4,scaled-STE+hybrid-quant-sparsify,algo+kernel,text-decoder,700M-7B,n,n,preprint,no,4-bit activations for 1-bit LLM; 55% active params; 3-bit KV cache
Wang2024-QSparse,2024_Wang_q-sparse-fully-sparsely-activated-llms.pdf,2024,arXiv,Wang,ternary,native-scratch,A-sparsify,8,topK-sparsification+STE,algorithm,text-decoder,300M-7B,n,n,preprint,no,Full activation sparsity; inference-optimal sparse scaling law
Xu2024-OneBit,2024_Xu_onebit-extremely-lowbit-llms.pdf,2024,NeurIPS,Xu,binary,QAT-finetune,W,16,SVID-decomp-init+distillation,algorithm,text-decoder,1.3-13B,y,n,NeurIPS,yes,1-bit QAT with value vectors + matrix-decomposition init; ~81% perf
Zhu2024-MatmulFree,2024_Zhu_scalable-matmul-free-language-modeling.pdf,2024,arXiv,Zhu,ternary,native-scratch,W+A,8,scaled-STE+GLA(no-attn-matmul),algo+kernel+hw,text-decoder,370M-2.7B,n,n,preprint,no,Fully matmul-free LM to 2.7B; FPGA/neuromorphic impl
Dehghankar2024-EfficientMatmul,2024_efficient-matmul-algorithm-binary-ternary-nn.pdf,2024,ICML25,Dehghankar,n/a,systems,W,NA,NA,algorithm,systems,NA,y,n,ICML25,yes,Preprocessing/indexing gives O(n^2/log n) binary/ternary matmul
Chen2024-TernaryEmbedding,2024_efficient-ternary-weight-embedding-model.pdf,2024,arXiv(MSFT),Chen,ternary,QAT-finetune,W,16,self-taught-distillation,algorithm,embedding,<1B,n,n,preprint,no,Ternary-weight embedding models + ANN search
Fan2024-ResilientEfficient,2024_resilient-efficient-llms-efficiency-robustness.pdf,2024,AICCC-2024,Fan,n/a,analysis,NA,NA,NA,NA,analysis-security,<1B,y,n,AICCC,yes,Adversarial robustness of MatMul-free LM vs Transformer++
Kawamura2025-BitTTS,2025_BitTTS-compact-tts-1.58bit-quantization.pdf,2025,Interspeech,Kawamura,ternary,QAT-finetune,W,16,scaled-STE+weight-indexing,algorithm,TTS,<1B,y,n,Interspeech,yes,1.58-bit TTS; 83% size cut; 5-weights->int8 indexing
Ye2025-DBellQuant,2025_DBellQuant-double-bell-transformation-binarization.pdf,2025,arXiv,Ye,binary,PTQ,W+A,6,learnable-double-bell-transform,algorithm,text-decoder,1.3-70B,n,n,preprint,no,~1-bit W + 6-bit A PTQ via single->dual-bell weight transform
Hoang2025-OutputAlign1bit,2025_Hoang_rethinking-output-alignment-1bit-ptq.pdf,2025,arXiv,Hoang,binary,PTQ,W,16,output-alignment+anisotropy-fix,algorithm,text-decoder,7-70B,n,n,preprint,no,Fixes error accumulation + anisotropic distortion in 1-bit PTQ
Huang2025-Tequila,2025_Huang_Tequila-trapping-free-ternary-quantization.pdf,2025,arXiv,Huang,ternary,QAT-finetune,W,16,deadzone-weights-as-dynamic-biases,algorithm,text-decoder,<=3B,n,n,preprint,no,Fixes deadzone trapping in ternary QAT; +4pct ARC; 3x speedup
Vaidhya2025-Spectra11,2025_Kaushal_spectra-1.1-scaling-laws-ternary-lms.pdf,2025,arXiv,Vaidhya,ternary,native-scratch,W,16,scaled-STE+2bit/1.6bit-packing,algo+kernel,text-decoder,<=3.9B/1.2Ttok,n,ext,preprint + ext. repro,yes,Spectra-1.1 TriLMs; data>params; TriRun GPU kernel 5x
Ardakani2025-LLMPi,2025_LLMPi-llms-high-throughput-raspberry-pi.pdf,2025,CVPRW,Ardakani,ternary,systems,W+A,8,k-quant-PTQ+BitNet-QAT,kernel+hw,edge-systems,<=3B,y,n,CVPRW,yes,LLM throughput/energy study on Raspberry Pi incl BitNet Q1.58
Lee2025-LittleBit,2025_LittleBit-ultra-low-bit-latent-factorization.pdf,2025,NeurIPS,Lee,binary,QAT-finetune,W,16,low-rank-latent-factorization+multiscale-comp,algorithm,text-decoder,7-70B,y,n,NeurIPS,yes,0.1 bits/weight via latent factorization; 31x memory cut
Liu2025-SurveyBNNLLM,2025_Liu_survey-binary-neural-networks-llm.pdf,2025,arXiv/OpenReview,Liu,n/a,survey,NA,NA,NA,NA,survey,NA,n,n,preprint,no,Survey of binarization techniques for LLMs (competitor)
Ma2025-BitNet2B4T,2025_Ma_bitnet-b1.58-2b4t-tech-report.pdf,2025,arXiv,Ma,ternary,native-scratch,W+A,8,scaled-STE+SFT+DPO,algo+kernel+hw,text-decoder,2B/4Ttok,n,ours,preprint + Sec.10,yes,First open native 1-bit 2B LLM; parity with FP 2B models
Wang2025-MoTE,2025_MoTE-mixture-of-ternary-experts-multimodal.pdf,2025,arXiv,Wang,ternary,native-scratch,W-experts,16,ternary-routed-experts-from-dense,algorithm,VLM/MoE,3B-upcycled,n,n,preprint,no,Mixture of ternary experts for multimodal; edge memory savings
Nielsen2025-ContinualQAT,2025_Nielsen_continual-qat-pretraining-16bit-to-1.58bit.pdf,2025,ACL-Findings-2025,Nielsen,ternary,continual-QAT,W,16,16->1.58bit-transition+optimizer-retention,algorithm,text-decoder,<1B,y,n,ACL-Findings,yes,When to switch FP->1.58-bit pretraining; loss-spike mitigation
Yan2025-PT2LLM,2025_PT2-LLM-post-training-ternarization.pdf,2025,ICLR26,Yan,ternary,PTQ,W,16,asym-ternary-quantizer+iterative-fitting+reorder,algorithm,text-decoder,7-65B,y,n,ICLR26,yes,Training-free ternarization rivaling 2-bit PTQ; end-to-end speedup
Xiao2025-PTQTP,2025_PTQTP-post-training-quant-trit-planes.pdf,2025,arXiv,Xiao,ternary,PTQ,W,16,progressive-approx-dual-trit-planes,algorithm,text-decoder,0.6-70B,n,n,preprint,no,Multiplication-free additive PTQ; rivals 1.58-bit QAT in ~1h
Liu2025-ParetoQ,2025_ParetoQ-scaling-laws-extreme-low-bit-quantization.pdf,2025,NeurIPS,Liu,mixed-partial,QAT-finetune,W,16,unified-QAT+refined-quant-fn,algorithm,theory/text-decoder,<=3B,y,ext,NeurIPS + ext. repro,yes,Unified 1-4 bit comparison; 2-3 bit sweet spot; 600M ternary > 3B SoTA
Panferov2025-QuEST,2025_QuEST-stable-training-1bit-weights-activations.pdf,2025,ICML-2025,Panferov,binary,QAT-finetune,W+A,1,Hadamard-norm+MSE-fit+trust-gradient,algo+kernel,text-decoder,<=800M,y,n,ICML,yes,Stable QAT down to W1A1; trust gradient estimator; GPU kernels
Oh2025-TSAR,2025_T-SAR-cpu-only-ternary-llm-simd-alu.pdf,2025,DATE26,Oh,ternary,systems,NA,NA,NA,kernel+hw,systems,NA,y,n,DATE26,yes,CPU ternary inference via in-register SIMD LUT generation
Tabesh2025-CAGE,2025_Tabesh_CAGE-curvature-aware-gradient-estimation.pdf,2025,MLSys26,Tabesh,mixed-partial,QAT-finetune,W+A,3,curvature-aware-STE-correction,algorithm,text-decoder,Llama-scale,y,n,MLSys26,yes,STE + curvature correction; W3A3 matches prior W4A4; convergence proof
Xu2025-TeLLMe,2025_TeLLMe-ternary-llm-accelerator-edge-fpga.pdf,2025,arXiv,Qiao,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,Energy-efficient ternary LLM prefill+decode accelerator on edge FPGA
Chen2025-TerEffic,2025_TerEffic-ternary-llm-inference-fpga.pdf,2025,arXiv,Chen,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,Highly efficient ternary LLM inference on FPGA
Tu2025-Rethink1bitOpt,2025_Tu_rethinking-1bit-optimization-pretrained-llms.pdf,2025,ICML-2026,Tu,binary,continual-QAT,W,16,progressive-fwd-bwd-conversion+binary-aware-init,algorithm,text-decoder,<=7B,y,n,ICML26,yes,1-bit from pretrained via progressive training + dual-scaling
Wang2025-BitNetJMLR,2025_Wang_bitnet-1bit-pretraining-JMLR.pdf,2025,JMLR,Wang,mixed-partial,native-scratch,W+A,8,scaled-STE(BitLinear),algo+kernel,text-decoder,125M-6.7B,y,n,JMLR,yes,Peer-reviewed BitNet: unifies b1 + b1.58; 1-bit pretraining
Wang2025-BitNetCPP,2025_Wang_bitnet-cpp-efficient-edge-inference-ternary.pdf,2025,ACL,Wang,ternary,systems,NA,NA,NA,kernel,systems,NA,y,n,ACL,yes,bitnet.cpp mpGEMM library: TL lookup + I2_S; up to 6.25x
Wang2025-BitNetV2,2025_Wang_bitnet-v2-native-4bit-hadamard.pdf,2025,arXiv,Wang,ternary,native-scratch,W+A+KV,4,H-BitLinear-online-Hadamard,algo+kernel,text-decoder,<=7B,n,n,preprint,no,Native 4-bit activations via online Hadamard rotation
Wang2025-BitVLA,2025_Wang_bitvla-1bit-vision-language-action.pdf,2025,arXiv,Wang,ternary,native-scratch,W+A,8,quantize-then-distill-vision-encoder,algorithm,VLA,2B,n,n,preprint,no,1-bit vision-language-action model for robotic manipulation
Anon2025-BinaryWA-PTQ,2025_achieving-binary-weight-activation-llm-ptq.pdf,2025,ACL-Findings-2025,Song,binary,PTQ,W+A,1,residual+rotation(?),algorithm,text-decoder,7-70B,y,n,ACL-Findings,yes,Binary weight AND binary activation LLM via PTQ
Anon2025-DoubleBinaryFactorization,2025_addition-is-almost-all-you-need-double-binary-factorization.pdf,2025,TMLR-2026,Boza,binary,PTQ,W,16,double-binary-factorization,algorithm,text-decoder,7-70B,y,n,TMLR26,yes,Compress LLMs via double binary factorization; addition-only
Wu2025-BitNetDistillation,2025_bitnet-distillation.pdf,2025,arXiv,Wu,ternary,QAT-finetune,W+A,8,SubLN+continued-pretrain+logit/attn-distill,algorithm,text-decoder,<=7B,n,n,preprint,no,Distil FP LLM into 1.58-bit task-specific models
Zhang2025-BitROM,2025_bitrom-weight-reload-free-ciROM-1.58bit-llm.pdf,2025,ASP-DAC-2026,Zhang,ternary,systems,NA,NA,NA,hardware,systems,billion-param,y,n,ASP-DAC26,yes,Weight-reload-free compute-in-ROM for 1.58-bit LLM inference
Gu2025-BTCLLM,2025_btc-llm-sub-1bit-learnable-transform-binary-codebook.pdf,2025,ACL-2026,Gu,binary,PTQ,W,16,learnable-transform+binary-codebook,algorithm,text-decoder,7-70B,y,n,ACL26,yes,Sub-1-bit LLM quantization via learnable transform + codebook
Anon2025-CPUvsGPU,2025_challenging-gpu-dominance-cpu-on-device-llm.pdf,2025,arXiv,Zhang,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,When CPUs outperform GPUs for on-device LLM inference
Anon2025-CompressionScalingLaws,2025_compression-scaling-laws-sparsity-quantization.pdf,2025,arXiv,Frantar,n/a,analysis,W,var,NA,algorithm,theory,NA,n,n,preprint,no,Unified scaling law for sparsity and quantization compression
Chen2025-HBLLM,2025_hbllm-wavelet-1bit-quantization-llm.pdf,2025,NeurIPS-2025,Chen,binary,PTQ,W,16,wavelet-transform+salient,algorithm,text-decoder,7-70B,y,n,NeurIPS,yes,Wavelet-enhanced high-fidelity 1-bit PTQ for LLMs
Anon2025-STE-ZerothOrder,2025_improving-ste-with-zeroth-order-information.pdf,2025,NeurIPS,Yang,mixed-partial,QAT-finetune,W,16,STE+zeroth-order-correction,algorithm,text-decoder,NA,y,n,NeurIPS,yes,Augments STE with zeroth-order gradient information
Chen2025-LoTAQAF,2025_lota-qaf-lossless-ternary-adaptation-qaf.pdf,2025,NeurIPS-2025,Chen,ternary,QAT-finetune,W,16,lossless-ternary-adapter,algorithm,text-decoder,7-70B,y,n,NeurIPS,yes,Lossless ternary adaptation for quantization-aware fine-tuning
Hao2025-LowPrecTrainingSurvey,2025_low-precision-training-llms-survey-tpami.pdf,2025,IEEE-TPAMI-2026,Hao,n/a,survey,W+A,var,NA,algorithm,survey,NA,y,n,IEEE-TPAMI26,yes,Survey of low-precision LLM training (FP8/INT8/FP4/1-bit) (competitor)
Anon2025-MultiBoolean,2025_multi-boolean-architectures-efficient-llms.pdf,2025,ICLR-2026,Tran,binary,PTQ,W,16,multi-boolean-bases,algorithm,text-decoder,7-70B,y,n,ICLR26,yes,Multi-Boolean architectures for efficient LLMs
Malekar2025-PIMLLM,2025_pim-llm-hybrid-pim-architecture-1bit-llms.pdf,2025,arXiv,Malekar,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,Hybrid processing-in-memory architecture for 1-bit LLMs
Anon2025-ProgBinPruning,2025_progressive-binarization-semi-structured-pruning-llm.pdf,2025,arXiv,Yan,binary,PTQ,W,16,progressive-binarization+semi-structured-pruning,algo+kernel,text-decoder,7-70B,n,n,preprint,no,Progressive binarization with semi-structured pruning
Zhao2025-PTQ161,2025_ptq1.61-real-limit-extreme-low-bit-ptq.pdf,2025,ACL,Zhao,mixed-partial,PTQ,W,16,structured-mask+salient,algorithm,text-decoder,7-70B,y,n,ACL,yes,Pushes real limit of extremely low-bit PTQ to ~1.61 bits
Xia2025-SDQLLM,2025_sdq-llm-sigma-delta-quantization-1bit-llms.pdf,2025,ECAI,Xia,binary,PTQ,W,16,sigma-delta-noise-shaping,algorithm,text-decoder,any-size,y,n,ECAI,yes,Sigma-Delta (noise-shaped) quantization for 1-bit LLMs
Anon2025-TENET,2025_tenet-sparsity-aware-lut-ternary-llm-edge.pdf,2025,arXiv,Huang,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,Sparsity-aware LUT-centric architecture for ternary LLM on edge
Anon2025-VLMTernarization,2025_ternarization-of-vision-language-models-edge.pdf,2025,arXiv,Crulis,ternary,QAT-finetune,W,16,scaled-STE,algorithm,VLM,<=7B,n,n,preprint,no,Ternarization of vision-language models for edge devices
Anon2025-OneBitASR,2025_towards-one-bit-asr-conformer-quantization.pdf,2025,Interspeech,Li,binary,QAT-finetune,W,16,co-training+stochastic-precision,algorithm,ASR,<1B,y,n,Interspeech,yes,Extremely low-bit Conformer ASR via co-training + stochastic precision
Connor2025-UltraQuantisation,2025_ultra-quantisation-embedding-search-1.58bit.pdf,2025,arXiv,Connor,ternary,QAT-finetune,W,16,scaled-STE,algorithm,embedding,<1B,n,n,preprint,no,1.58-bit encodings for efficient embedding search
Huang2026-Sherry,2026_Huang_Sherry-1.25bit-ternary-fine-grained-sparsification.pdf,2026,ACL-2026,Huang,ternary,QAT-finetune,W,16,3:4-sparsity-packing+annealing-residual-synapse,algo+kernel,text-decoder,1B,y,n,ACL,yes,1.25-bit ternary via 3:4 sparsity; power-of-two aligned packing
Li2026-BitNetTextEmbeddings,2026_Li_bitnet-text-embeddings.pdf,2026,arXiv,Li,ternary,native-scratch,W,8,BitLinear+contrastive-finetune,algorithm,embedding,0.27-0.6B,n,n,preprint,no,1-bit text embedding models (paper behind HF release)
Anon2026-Litespark,2026_Litespark-simd-ternary-1.58bit-cpu.pdf,2026,arXiv,Dade,ternary,systems,NA,NA,NA,kernel,systems,NA,n,n,preprint,no,Ultra-fast SIMD CPU framework for ternary (1.58-bit) LMs
Anon2026-NativeTernary,2026_NativeTernary-self-delimiting-binary-encoding-ternary-weights.pdf,2026,arXiv,Savdhariya,ternary,systems,W,NA,self-delimiting-encoding,algorithm,storage,NA,n,n,preprint,no,Self-delimiting binary encoding for ternary weights (storage layer)
Song2026-LBLLM,2026_Song_LBLLM-lightweight-binarization-3stage-distillation.pdf,2026,ACL-2026,Song,mixed-partial,PTQ,W+A,4,three-stage-layerwise-distillation,algorithm,text-decoder,7-70B,y,n,ACL,yes,W(1+1)A4 via 3-stage distillation; no extra high-precision channels
Nargund2026-TernaryLM,2026_TernaryLM-native-1bit-adaptive-layerwise-scaling.pdf,2026,arXiv,Nargund,ternary,native-scratch,W,16,scaled-STE+adaptive-layerwise-scaling,algorithm,text-decoder,<1B,n,n,preprint,no,Native 1.5-bit LM with adaptive per-layer scaling
Zhang2026-SparseBitNet,2026_Zhang_sparse-bitnet-semi-structured-sparsity.pdf,2026,arXiv,Zhang,ternary,native-scratch,W+sparsify,8,joint-1.58bit+dynamic-NM-sparsity,algo+kernel+hw,text-decoder,MSFT+PKU,n,n,preprint,no,1.58-bit LLMs tolerate N:M sparsity better than FP; sparse tensor cores
Zhao2026-TWLA,2026_Zhao_TWLA-ternary-weights-lowbit-activations-ptq.pdf,2026,ICML-2026,Zhao,ternary,PTQ,W+A,4,E2M-ATQ+Kronecker-orthogonal-shaping+ILA-AMP,algorithm,text-decoder,7-70B,y,n,ICML,yes,W1.58A4 PTQ; manifold ternary quantizer + rotation for outliers
Zuo2026-FairyFuse,2026_Zuo_FairyFuse-multiplication-free-cpu-fused-ternary.pdf,2026,arXiv,Zuo,ternary,systems,NA,NA,NA,kernel,systems,NA,n,n,preprint,no,Multiplication-free CPU inference via fused ternary kernels
Wang2026-CATQ,2026_cat-q-cost-efficient-accurate-ternary-quantization-llm.pdf,2026,ICML-2026,Wang,ternary,PTQ,W,16,cost-efficient-ternary-calibration,algorithm,text-decoder,7-70B,y,n,ICML,yes,Cost-efficient and accurate ternary quantization for LLMs
Anon2026-EveryBitCounts,2026_every-bit-counts-precision-expressivity-tradeoffs.pdf,2026,arXiv,Chakrabarti,n/a,analysis,W,var,NA,algorithm,theory,NA,n,n,preprint,no,Theoretical precision-expressivity tradeoffs in quantized transformers
Anon2026-ExpressivePowerWQ,2026_expressive-power-weight-quantization-llms.pdf,2026,arXiv,Zhang,n/a,analysis,W,var,NA,algorithm,theory,NA,n,n,preprint,no,Expressive power / capacity limits of weight-quantized LLMs
Wang2026-HESTIA,2026_hestia-hessian-guided-qat-extreme-low-bit-llm.pdf,2026,arXiv,Wang,mixed-partial,QAT-finetune,W,16,Hessian-guided-differentiable-quantizer,algorithm,text-decoder,7-70B,n,n,preprint,no,Hessian-guided differentiable QAT for extremely low-bit LLMs
Anon2026-HGF,2026_hgf-hybrid-gated-flow-stabilizing-1.58bit-llms.pdf,2026,arXiv,Trejo Pizzo,ternary,native-scratch,W,16,selective-low-rank-correction(gated),algorithm,text-decoder,<=7B,n,n,preprint,no,Stabilizes 1.58-bit LLM training via selective low-rank correction
Chong2026-NanoQuant,2026_nanoquant-sub-1bit-quantization-llms.pdf,2026,ICML-2026,Chong,binary,PTQ,W,16,nested-factorization,algorithm,text-decoder,7-70B,y,n,ICML,yes,Efficient sub-1-bit quantization of LLMs
You2026-RaBiT,2026_rabit-residual-aware-binarization-training-llm.pdf,2026,ICML-2026,You,binary,QAT-finetune,W,16,residual-aware-binarization-training,algorithm,text-decoder,7-70B,y,n,ICML,yes,Residual-aware binarization training for accurate binary LLMs
Zagitov2026-HARP,2026_HARP-hadamard-preconditioned-rotation-llm-quant.pdf,2026,arXiv,Zagitov,n/a,PTQ,W+A,2,learnable-butterfly-orthogonal-rotation,algorithm,text-decoder,1-70B,n,n,preprint,no,Learnable adaptive Hadamard/rotation preconditioner for 2-4 bit PTQ
